goos: linux
goarch: amd64
pkg: routerbench
cpu: 13th Gen Intel(R) Core(TM) i7-13700H
BenchmarkParallel/param/echo-http-20                	57078548	         6.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-http-20                	59724768	         6.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-http-20                	57714532	         6.557 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	67587115	         5.762 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	62778349	         5.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	60475945	         5.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	66774952	         5.578 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	63993177	         5.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-20                	71146020	         5.513 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2798372	       130.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2824875	       128.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2611390	       132.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2649050	       127.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2881872	       130.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/bunrouter-http-20           	 2803218	       126.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/param/gorilla-20                  	  944121	       382.3 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/gorilla-20                  	  828146	       375.7 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/gorilla-20                  	  915620	       380.9 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/gorilla-20                  	  907327	       384.2 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/gorilla-20                  	  903615	       389.4 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/gorilla-20                  	  907010	       386.5 ns/op	    1154 B/op	       8 allocs/op
BenchmarkParallel/param/fiber-20                    	 7421721	        48.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-20                    	 7187493	        50.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-20                    	 7827705	        47.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-20                    	 7695386	        49.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-20                    	 7604628	        49.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-20                    	 7525851	        48.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1000000	       307.7 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1175492	       302.4 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1184322	       305.7 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1000000	       305.7 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1000000	       304.1 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/fiber-http-20               	 1000000	       326.5 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3357248	       107.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3379921	       107.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3370422	       104.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3422437	       108.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3448258	       105.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/stdlib-20                    	 3308683	       107.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3225300	       109.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3303549	       111.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3337754	       112.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3078979	       112.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3315865	       109.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/compat-20                    	 3312841	       109.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkParallel/deep/mux-20                       	43329531	         9.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-20                       	44896015	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-20                       	41611771	         9.094 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-20                       	42834914	         9.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-20                       	40500860	         9.168 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-20                       	43731368	         9.114 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	42306050	         9.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	39677977	        10.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	44624163	         9.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	40135832	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	34101284	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/mux-plain-20                 	36949574	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/chi-20                       	 1233390	       269.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/chi-20                       	 1383678	       257.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/chi-20                       	 1362153	       254.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/chi-20                       	 1321903	       264.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/chi-20                       	 1335433	       274.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/chi-20                       	 1267852	       254.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-20                	10417971	        36.25 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/deep/httprouter-20                	10336038	        35.54 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/deep/httprouter-20                	 9982556	        33.86 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/deep/httprouter-20                	10932074	        35.20 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/deep/httprouter-20                	11021631	        33.82 ns/op	      96 B/op	       1 allocs/op
